CustomerID,Age,Tenure,MonthlyCharges,TotalCharges,Churn,Gender_Male,Service_Internet_Fiber optic,Service_Phone_Yes,Service_TV_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card,PaymentMethod_Electronic check,PaymentMethod_Mailed check,StreamingMovies_Yes,StreamingMusic_Yes,OnlineSecurity_Yes,TechSupport_Yes
08729464-bde6-43bc-8f63-a357096feab1,0.8480579330532336,-1.134678116932161,0.03924125012970776,-0.8651228824664959,No,True,False,True,False,True,False,False,False,True,False,False,True,False
af95bc95-baf4-4318-a21d-70d2ea3148b7,1.7423952582337041,-1.134678116932161,1.3239603440910013,-0.5900692905803773,No,True,False,False,True,False,True,False,False,True,True,True,False,False
1fe7eee6-2227-4400-9998-4d993f4a60fd,0.1601061444528716,1.1576925016146542,1.512841315460918,2.3624166290008004,No,True,True,False,True,False,False,False,False,True,True,True,False,False
f736fe7b-1b44-4acd-84c2-21c4aef648be,-0.8030263595876351,1.0113709727712406,0.24553211973024278,1.0080316095503423,No,False,True,True,True,False,False,False,False,False,False,True,False,True
4b40d12d-7633-4309-96b8-aee675ea20ae,1.1232386484933783,0.7675017580322177,-1.3256290734216025,-0.5255476566595896,No,True,True,True,True,False,True,False,True,False,True,False,True,True
0fece405-89c9-44a4-9ffb-29e55a4bbf55,-1.2845926116078885,0.8162756009800222,0.21826756212380272,0.8247086592432042,No,False,True,True,True,False,False,False,False,False,True,False,True,False
8f55fd3f-ddad-4da9-9531-e0934968f712,-0.39025528642741797,0.3285371715019764,0.298090303067959,0.4681876592103799,No,True,True,True,False,False,True,False,False,True,True,False,False,False
b4db2101-be85-4048-8201-659b9f3345a9,0.8480579330532336,0.2797633285541718,0.927474548537107,0.8495660084373925,No,True,False,False,True,False,False,False,False,False,False,True,False,False
28177481-3920-402e-bb98-7ab632e9111f,-0.5278456441474904,-0.5006181586107015,-1.5066263172908616,-1.0081696912068518,No,False,False,True,True,False,False,False,True,False,False,False,True,True
a257f4af-3ca6-47c3-ae28-3e315a7b8b0f,-0.2526649287073456,-0.6469396874541152,-0.1332152889471726,-0.543163813162577,No,True,True,True,True,False,True,False,False,True,False,True,False,False
af6d4c2c-f822-4452-9698-4c4d0f97296d,-1.07820707502778,0.3285371715019764,1.366335379407035,1.2099284053277095,No,False,True,True,True,False,False,False,True,False,True,False,True,True
e6ac1636-1be7-4c55-9fdc-1f7600aec1be,-1.07820707502778,-0.40307047271509233,1.591350101821631,0.41532854871289293,No,False,True,True,False,False,True,True,False,False,False,False,True,False
6c816236-6cf6-4bec-b897-68f8c1a4b599,-0.1838697498473094,-1.3297734887233794,-1.0362305764183042,-1.1800163353898752,No,True,False,False,True,False,True,False,False,True,False,False,True,False
691ba5bc-0d3d-479d-89e3-13e7764480a5,0.641672396473125,-0.793261216297529,1.1948643062677369,-0.22625389291372736,No,False,True,True,True,False,True,True,False,False,True,True,False,False
d4ddceb0-0996-4428-b87c-349538d8924b,0.9168531119132698,0.9625971298234359,-1.1843789557014908,-0.32922141837501256,No,True,False,False,True,False,False,False,False,True,False,False,False,False
6dee6bf9-191d-44f5-9be0-ea333d0a78a5,-0.1838697498473094,0.13344179971075806,1.0982886443846838,0.7995161189104815,No,True,False,False,True,True,False,False,True,False,False,False,True,True
79ae2894-25ed-40a7-bb43-c8e4b588954e,-1.6285685059080695,0.718727915084413,-0.7540588296239419,-0.06245183605553573,No,False,True,True,True,False,True,False,False,True,True,True,True,False
44a0183a-79fa-496e-a5fe-7f6402f3ffae,-0.32146010756738175,-1.1834519598799655,1.4872192010837813,-0.6239182750781138,No,True,False,True,True,True,False,False,True,False,True,False,False,False
cedd9b62-f616-4b38-ba46-c5901a4b17d9,-1.6973636847681057,0.9138232868756314,0.619680687365608,1.2601325891882316,No,False,True,False,False,True,False,True,False,False,True,False,False,True
fbd12edb-2f9c-4ad3-94ec-da1d1332e2ce,-0.1838697498473094,-1.2322258028277702,-0.35395965896557946,-1.0096221861405021,No,True,False,True,True,False,True,True,False,False,True,False,True,False
2c38d77b-aa10-4a11-b50a-bd7b8ca51475,1.1920338273534146,-0.5006181586107015,-0.741904749727095,-0.6946595667917109,No,True,True,True,True,True,False,False,False,False,False,False,True,False
70f91934-fdda-4b1e-878b-b0ac212bceaf,0.2289013233129078,0.2797633285541718,-0.8923525495313067,-0.388135251343173,No,True,True,True,True,False,True,False,False,False,False,True,True,True
